46928
CELE_Y74C9A.6	CELE_Y74C9A.6	MissingGeneType
CELE_Y74C9A.3	CELE_Y74C9A.3	MissingGeneType
CELE_Y74C9A.2	CELE_Y74C9A.2	MissingGeneType
CELE_Y74C9A.4	CELE_Y74C9A.4	MissingGeneType
CELE_Y74C9A.9	CELE_Y74C9A.9	MissingGeneType
CELE_Y74C9A.5	CELE_Y74C9A.5	MissingGeneType
CELE_Y74C9A.7	CELE_Y74C9A.7	MissingGeneType
CELE_Y74C9A.8	CELE_Y74C9A.8	MissingGeneType
CELE_Y74C9A.1	CELE_Y74C9A.1	MissingGeneType
CELE_Y48G1C.12	CELE_Y48G1C.12	MissingGeneType
CELE_Y48G1C.4	CELE_Y48G1C.4	MissingGeneType
CELE_Y48G1C.5	CELE_Y48G1C.5	MissingGeneType
CELE_Y48G1C.2	CELE_Y48G1C.2	MissingGeneType
CELE_Y48G1C.10	CELE_Y48G1C.10	MissingGeneType
CELE_Y48G1C.6	CELE_Y48G1C.6	MissingGeneType
CELE_Y48G1C.9	CELE_Y48G1C.9	MissingGeneType
CELE_Y48G1C.1	CELE_Y48G1C.1	MissingGeneType
CELE_Y48G1C.13	CELE_Y48G1C.13	MissingGeneType
CELE_Y48G1C.8	CELE_Y48G1C.8	MissingGeneType
CELE_F53G12.1	CELE_F53G12.1	MissingGeneType
CELE_F53G12.16	CELE_F53G12.16	MissingGeneType
CELE_F53G12.15	CELE_F53G12.15	MissingGeneType
CELE_F53G12.10	CELE_F53G12.10	MissingGeneType
CELE_F53G12.17	CELE_F53G12.17	MissingGeneType
CELE_F53G12.12	CELE_F53G12.12	MissingGeneType
CELE_F53G12.9	CELE_F53G12.9	MissingGeneType
CELE_F53G12.8	CELE_F53G12.8	MissingGeneType
CELE_F53G12.14	CELE_F53G12.14	MissingGeneType
CELE_F53G12.7	CELE_F53G12.7	MissingGeneType
CELE_F53G12.6	CELE_F53G12.6	MissingGeneType
CELE_F53G12.5	CELE_F53G12.5	MissingGeneType
CELE_F53G12.4	CELE_F53G12.4	MissingGeneType
CELE_F53G12.3	CELE_F53G12.3	MissingGeneType
CELE_F53G12.18	CELE_F53G12.18	MissingGeneType
CELE_F56C11.1	CELE_F56C11.1	MissingGeneType
CELE_F56C11.2	CELE_F56C11.2	MissingGeneType
CELE_F56C11.6	CELE_F56C11.6	MissingGeneType
CELE_F56C11.7	CELE_F56C11.7	MissingGeneType
CELE_F56C11.5	CELE_F56C11.5	MissingGeneType
CELE_F56C11.3	CELE_F56C11.3	MissingGeneType
CELE_Y48G1BL.2	CELE_Y48G1BL.2	MissingGeneType
CELE_F56C11.T1	CELE_F56C11.T1	MissingGeneType
CELE_Y48G1BL.7	CELE_Y48G1BL.7	MissingGeneType
CELE_Y48G1BL.3	CELE_Y48G1BL.3	MissingGeneType
CELE_Y48G1BL.1	CELE_Y48G1BL.1	MissingGeneType
CELE_Y48G1BL.8	CELE_Y48G1BL.8	MissingGeneType
CELE_Y48G1BL.5	CELE_Y48G1BL.5	MissingGeneType
CELE_Y48G1BM.10	CELE_Y48G1BM.10	MissingGeneType
CELE_Y48G1BM.6	CELE_Y48G1BM.6	MissingGeneType
CELE_Y48G1BM.7	CELE_Y48G1BM.7	MissingGeneType
CELE_Y48G1BM.2	CELE_Y48G1BM.2	MissingGeneType
CELE_Y48G1BM.8	CELE_Y48G1BM.8	MissingGeneType
CELE_Y48G1BM.1	CELE_Y48G1BM.1	MissingGeneType
CELE_Y48G1BR.1	CELE_Y48G1BR.1	MissingGeneType
CELE_T13E5.1	CELE_T13E5.1	MissingGeneType
CELE_C53D5.8	CELE_C53D5.8	MissingGeneType
CELE_C53D5.7	CELE_C53D5.7	MissingGeneType
CELE_C53D5.2	CELE_C53D5.2	MissingGeneType
CELE_C53D5.4	CELE_C53D5.4	MissingGeneType
CELE_C53D5.1	CELE_C53D5.1	MissingGeneType
CELE_C53D5.5	CELE_C53D5.5	MissingGeneType
CELE_C53D5.6	CELE_C53D5.6	MissingGeneType
CELE_Y48G1A.7	CELE_Y48G1A.7	MissingGeneType
CELE_Y48G1A.5	CELE_Y48G1A.5	MissingGeneType
CELE_Y48G1A.4	CELE_Y48G1A.4	MissingGeneType
CELE_Y48G1A.3	CELE_Y48G1A.3	MissingGeneType
CELE_Y48G1A.6	CELE_Y48G1A.6	MissingGeneType
CELE_Y48G1A.2	CELE_Y48G1A.2	MissingGeneType
CELE_Y48G1A.1	CELE_Y48G1A.1	MissingGeneType
CELE_R119.1	CELE_R119.1	MissingGeneType
CELE_R119.7	CELE_R119.7	MissingGeneType
CELE_R119.2	CELE_R119.2	MissingGeneType
CELE_R119.3	CELE_R119.3	MissingGeneType
CELE_R119.4	CELE_R119.4	MissingGeneType
CELE_R119.6	CELE_R119.6	MissingGeneType
CELE_R119.5	CELE_R119.5	MissingGeneType
CELE_Y50C1A.1	CELE_Y50C1A.1	MissingGeneType
CELE_Y50C1A.2	CELE_Y50C1A.2	MissingGeneType
CELE_C07F11.2	CELE_C07F11.2	MissingGeneType
CELE_C07F11.1	CELE_C07F11.1	MissingGeneType
CELE_W04C9.4	CELE_W04C9.4	MissingGeneType
CELE_W04C9.5	CELE_W04C9.5	MissingGeneType
CELE_W04C9.7	CELE_W04C9.7	MissingGeneType
CELE_W04C9.8	CELE_W04C9.8	MissingGeneType
CELE_W04C9.3	CELE_W04C9.3	MissingGeneType
CELE_W04C9.9	CELE_W04C9.9	MissingGeneType
CELE_W04C9.6	CELE_W04C9.6	MissingGeneType
CELE_W04C9.2	CELE_W04C9.2	MissingGeneType
CELE_W04C9.1	CELE_W04C9.1	MissingGeneType
CELE_Y65B4BL.3	CELE_Y65B4BL.3	MissingGeneType
CELE_Y65B4BL.4	CELE_Y65B4BL.4	MissingGeneType
CELE_Y65B4BL.2	CELE_Y65B4BL.2	MissingGeneType
CELE_Y65B4BL.7	CELE_Y65B4BL.7	MissingGeneType
CELE_Y65B4BL.5	CELE_Y65B4BL.5	MissingGeneType
CELE_Y65B4BL.10	CELE_Y65B4BL.10	MissingGeneType
CELE_Y65B4BL.9	CELE_Y65B4BL.9	MissingGeneType
CELE_Y65B4BL.6	CELE_Y65B4BL.6	MissingGeneType
CELE_Y65B4BL.8	CELE_Y65B4BL.8	MissingGeneType
CELE_Y65B4BL.11	CELE_Y65B4BL.11	MissingGeneType
CELE_Y65B4BL.12	CELE_Y65B4BL.12	MissingGeneType
CELE_Y65B4BL.1	CELE_Y65B4BL.1	MissingGeneType
CELE_Y65B4BM.3	CELE_Y65B4BM.3	MissingGeneType
CELE_Y65B4BM.2	CELE_Y65B4BM.2	MissingGeneType
CELE_Y65B4BR.8	CELE_Y65B4BR.8	MissingGeneType
CELE_Y65B4BR.5	CELE_Y65B4BR.5	MissingGeneType
CELE_Y65B4BR.10	CELE_Y65B4BR.10	MissingGeneType
CELE_Y65B4BR.4	CELE_Y65B4BR.4	MissingGeneType
CELE_Y65B4BR.12	CELE_Y65B4BR.12	MissingGeneType
CELE_Y65B4BR.3	CELE_Y65B4BR.3	MissingGeneType
CELE_Y65B4BR.11	CELE_Y65B4BR.11	MissingGeneType
CELE_Y65B4BR.2	CELE_Y65B4BR.2	MissingGeneType
CELE_Y65B4BR.1	CELE_Y65B4BR.1	MissingGeneType
CELE_Y65B4BR.9	CELE_Y65B4BR.9	MissingGeneType
CELE_Y65B4BR.6	CELE_Y65B4BR.6	MissingGeneType
CELE_F56A6.5	CELE_F56A6.5	MissingGeneType
CELE_F56A6.8	CELE_F56A6.8	MissingGeneType
CELE_F56A6.2	CELE_F56A6.2	MissingGeneType
CELE_F56A6.7	CELE_F56A6.7	MissingGeneType
CELE_F56A6.6	CELE_F56A6.6	MissingGeneType
CELE_F56A6.4	CELE_F56A6.4	MissingGeneType
CELE_F56A6.1	CELE_F56A6.1	MissingGeneType
CELE_Y65B4A.4	CELE_Y65B4A.4	MissingGeneType
CELE_Y65B4A.6	CELE_Y65B4A.6	MissingGeneType
CELE_Y65B4A.10	CELE_Y65B4A.10	MissingGeneType
CELE_Y65B4A.11	CELE_Y65B4A.11	MissingGeneType
CELE_Y65B4A.3	CELE_Y65B4A.3	MissingGeneType
CELE_Y65B4A.2	CELE_Y65B4A.2	MissingGeneType
CELE_Y65B4A.7	CELE_Y65B4A.7	MissingGeneType
CELE_Y65B4A.1	CELE_Y65B4A.1	MissingGeneType
CELE_Y65B4A.8	CELE_Y65B4A.8	MissingGeneType
CELE_Y65B4A.9	CELE_Y65B4A.9	MissingGeneType
CELE_Y18H1A.14	CELE_Y18H1A.14	MissingGeneType
CELE_Y18H1A.11	CELE_Y18H1A.11	MissingGeneType
CELE_Y18H1A.10	CELE_Y18H1A.10	MissingGeneType
CELE_Y18H1A.1	CELE_Y18H1A.1	MissingGeneType
CELE_Y18H1A.4	CELE_Y18H1A.4	MissingGeneType
CELE_Y18H1A.2	CELE_Y18H1A.2	MissingGeneType
CELE_Y18H1A.3	CELE_Y18H1A.3	MissingGeneType
CELE_Y18H1A.7	CELE_Y18H1A.7	MissingGeneType
CELE_Y18H1A.6	CELE_Y18H1A.6	MissingGeneType
CELE_Y18H1A.15	CELE_Y18H1A.15	MissingGeneType
CELE_Y18H1A.18	CELE_Y18H1A.18	MissingGeneType
CELE_Y18H1A.13	CELE_Y18H1A.13	MissingGeneType
CELE_Y18H1A.17	CELE_Y18H1A.17	MissingGeneType
CELE_Y18H1A.12	CELE_Y18H1A.12	MissingGeneType
CELE_Y18H1A.9	CELE_Y18H1A.9	MissingGeneType
CELE_Y18H1A.T1	CELE_Y18H1A.T1	MissingGeneType
CELE_Y18H1A.8	CELE_Y18H1A.8	MissingGeneType
CELE_Y18H1A.16	CELE_Y18H1A.16	MissingGeneType
CELE_T06A4.2	CELE_T06A4.2	MissingGeneType
CELE_T06A4.3	CELE_T06A4.3	MissingGeneType
CELE_T06A4.1	CELE_T06A4.1	MissingGeneType
CELE_T06A4.5	CELE_T06A4.5	MissingGeneType
CELE_T06A4.4	CELE_T06A4.4	MissingGeneType
CELE_T06A4.6	CELE_T06A4.6	MissingGeneType
CELE_T06A4.7	CELE_T06A4.7	MissingGeneType
CELE_Y73A3A.1	CELE_Y73A3A.1	MissingGeneType
CELE_Y73A3A.2	CELE_Y73A3A.2	MissingGeneType
CELE_ZC123.3	CELE_ZC123.3	MissingGeneType
CELE_ZC123.T1	CELE_ZC123.T1	MissingGeneType
CELE_ZC123.8	CELE_ZC123.8	MissingGeneType
CELE_ZC123.10	CELE_ZC123.10	MissingGeneType
CELE_ZC123.11	CELE_ZC123.11	MissingGeneType
CELE_ZC123.7	CELE_ZC123.7	MissingGeneType
CELE_ZC123.5	CELE_ZC123.5	MissingGeneType
CELE_ZC123.9	CELE_ZC123.9	MissingGeneType
CELE_ZC123.6	CELE_ZC123.6	MissingGeneType
CELE_ZC123.1	CELE_ZC123.1	MissingGeneType
CELE_ZC123.4	CELE_ZC123.4	MissingGeneType
CELE_Y95B8A.17	CELE_Y95B8A.17	MissingGeneType
CELE_Y95B8A.8	CELE_Y95B8A.8	MissingGeneType
CELE_Y95B8A.10	CELE_Y95B8A.10	MissingGeneType
CELE_Y95B8A.6	CELE_Y95B8A.6	MissingGeneType
CELE_Y95B8A.11	CELE_Y95B8A.11	MissingGeneType
CELE_Y95B8A.5	CELE_Y95B8A.5	MissingGeneType
CELE_Y95B8A.18	CELE_Y95B8A.18	MissingGeneType
CELE_Y95B8A.4	CELE_Y95B8A.4	MissingGeneType
CELE_Y95B8A.12	CELE_Y95B8A.12	MissingGeneType
CELE_Y95B8A.16	CELE_Y95B8A.16	MissingGeneType
